,Name,Authors,Rating,ISBN,PublishYear,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,no_pages,genre1,genre2,final genre
344,A Streetcar Named Desire and Other Plays,Tennessee Williams,3.98,014018385X,1986,91604,92773,55172,13780,4365,257694,5,313,Drama,Married people,Family/Humor
345,The Life and Adventures of Robinson Crusoe,Daniel Defoe,3.68,0517626322,1986,61027,84931,72123,22530,8120,248731,0,394,,,Adventure/Fantasy
346,The House of the Spirits,Isabel Allende,4.23,0816139946,1986,86612,65462,26334,5634,1790,185832,4,648,Chilean literature,Translations into English,Fantasy/Romance
347,"Are You There God? It's Me, Margaret",Judy Blume,3.9,,1986,60176,61951,44344,10840,3868,181179,345,149,,,Family/Humor
348,"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,4.11,0394543963,1986,65045,65683,30069,5391,2024,168212,37,597,Jason Bourne (Fictitious character),Terrorists,Thriller/Adventure
349,Batman: The Dark Knight Returns,Frank Miller,4.26,0446385050,1986,82044,46462,20087,5528,3507,157628,16,140,Graphic novels,"Comic books, strips",Adventure/Fantasy
350,The picture of Dorian Gray,K.R. Cripwell,4.08,0003701646,1985,370199,340157,171485,40756,13889,936486,1,48,Appearance (Philosophy),Fiction,Suspense/Mystery
351,The Polar Express,Chris Van Allsburg,4.3,0862641438,1985,117678,50664,28144,7657,3710,207853,16,32,San Nicolás,nochebuena,Family/Humor
352,Lonesome Dove,Larry McMurtry,4.49,0671504207,1985,91326,35013,12210,2570,1348,142467,127,843,fiction,western cattle drives,Biography/Historical
353,"So Long, and Thanks for All the Fish",Douglas Adams,4.09,0671525808,1985,54255,50051,27808,5448,820,138382,30,204,Trilogy of Four,fantasy fiction,Science Fiction/Humor
354,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,4.17,039454482X,1985,52330,29232,14679,5986,2561,104788,12,337,Fiction,Glanton Gang,Biography/Historical
355,The Indian in the Cupboard,Lynne Reid Banks,3.92,0385170513,1985,31770,33283,24016,5257,1749,96075,52,181,Magic,Indians of North America,Family/Humor
356,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,3.78,0060241012,1985,20903,23650,20483,5718,1724,72478,58,58,Juvenile literature,Stepmothers,Family/Humor
357,Jitterbug Perfume,Tom Robbins,4.25,0553251481,1985,32195,20635,9075,2230,876,65011,24,388,,,Fantasy/Humor
358,"When the Bough Breaks (Alex Delaware, #1)",Jonathan Kellerman,4.03,0689115199,1985,20429,23140,12492,1899,734,58694,7,293,Johathan Kellerman,Series,Thriller/Mystery
359,Dandelion Wine,Ray Bradbury,4.09,060600520X,1985,22997,17289,9721,2727,1078,53812,0,239,,,Family/Humor
360,The Wonderful Wizard of Oz,L. Frank Baum,3.99,0451518640,1984,130411,121352,80790,17419,6140,356112,8,219,Witches,Toy and movable books,Adventure/Fantasy
361,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,4.07,0870212850,1984,137505,111396,55079,14745,9966,328691,100,387,Fiction,Thriller,Thriller/Adventure
362,The Neverending Story,Michael Ende,4.18,0140074317,1984,73190,49319,25945,5922,2221,156597,73,377,Imaginary Voyages,Bien y mal,Adventure/Fantasy
363,"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,4,0340329645,1984,26421,26663,15921,3733,920,73658,20,588,Ayla (Fictitious character),Glacial epoch,Adventure/Fantasy
364,Still Life with  Woodpecker,Tom Robbins,4.04,0553270931,1984,26081,26003,13138,3189,1155,69566,18,277,Fiction,Anarchists,Fantasy/Humor
365,You Can Heal Your Life,Louise L. Hay,4.16,8176210773,1984,30033,16794,9688,2634,1725,60874,1287,253,Change (Psychology),Self-actualization (Psychology),Self-Help
366,The Red and the Black,Stendhal,3.88,039460511X,1984,17688,18720,12449,3801,1412,54070,0,630,Fiction,Young men,Biography/Historical
367,"Raise High the Roof Beam, Carpenters and Seymour: An Introduction",J.D. Salinger,4.12,0553262556,1984,18357,16366,8559,1658,416,45356,11,224,Families in Fiction,Manners and customs in fiction,Suspense/Mystery
368,The Price of Salt,Claire  Morgan,3.97,0930044495,1984,14854,15797,8992,2359,772,42774,3,276,Fiction,Lesbians,Romance
369,"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,3.94,0812533704,1984,13467,14369,7865,2338,1152,39191,24,319,Dark Fantasy,High Fantasy,Fantasy/Adventure
370,Fiesta,Ernest Hemingway,3.82,8402094163,1983,111262,125690,84462,28901,11482,361797,3,186,American Manuscripts,Fiction in English,Biography/Historical
371,The Godfather,Mario Puzo,4.37,,1983,175816,96757,34000,7141,3852,317566,283,444,,,Suspense/Mystery
372,The Tell-Tale Heart & Other Writings (Bantam Classics),Edgar Allan Poe,4.17,0613366964,1983,94763,77488,36106,6824,2585,217766,14,415,busts,narrative poetry,Horror/Suspense
373,The Silmarillion,J.R.R. Tolkien,3.93,0395346460,1983,80708,62634,45042,16321,6063,210768,13,365,Fantasy fiction,Short stories,Adventure/Fantasy
374,The Penguin Complete Sherlock Holmes,Arthur Conan Doyle,4.51,0140056947,1983,102218,47510,12712,1626,819,164885,14,1126,Action & Adventure Fiction,Adventure stories,Mystery/Suspense
375,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.21,0805002014,1983,77785,35665,24610,6822,2721,147603,22,32,Fiction,Children's Books/Baby-Preschool,Family/Humor
376,The Tao of Pooh,Benjamin Hoff,4,0140067477,1983,36206,32967,19923,5012,1943,96051,416,158,criticism,interpretation,Self-Help
377,"The Elfstones of Shannara (Shannara, #2)",Terry Brooks,3.95,,1983,23082,24175,14524,3792,1360,66933,3,576,,,Adventure/Fantasy
378,Who's Afraid of Virginia Woolf?,Edward Albee,4.08,0451158717,1983,24214,19583,10859,2796,976,58428,81,257,Plays,American drama,Family/Humor
379,The Odessa File,Frederick Forsyth,4.11,0553199862,1983,19171,22140,10009,1152,293,52765,1,334,,,Thriller/Adventure
380,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,4.22,0671701606,1982,96357,85595,34416,4995,1061,222424,8,250,Fiction,Humorous fiction,Science Fiction/Humor
381,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,4.16,0689707495,1982,60711,35294,22742,5502,2180,126429,2053,32,Food,Juvenile fiction,Family/Humor
382,Helter Skelter,Vincent Bugliosi,4.04,0553278290,1982,44356,44657,25152,4894,1604,120663,4,676,Murder,Meurtre,Biography/Historical
383,A Connecticut Yankee in King Arthur's Court,Mark Twain,3.77,0393951375,1982,24366,33906,25178,6637,2236,92323,8,455,Time travel,Fiction,Adventure/Fantasy
384,Brideshead Revisited,Evelyn Waugh,4,0316926345,1982,33211,32328,18108,4878,1793,90318,3127,351,Catholics,Family,Biography/Historical
385,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,4.03,014039012X,1982,35632,29157,16612,4652,2482,88535,76,160,African American abolitionists,Abolitionists,Biography/Historical
386,The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,0553264915,1982,21526,25266,15440,3878,1266,67376,40,384,Drug addiction,Travel,Non-fiction
387,Jude The Obscure,Thomas Hardy,3.82,0553210238,1982,19469,20710,13244,4758,2502,60683,3,443,Social life and customs,Death,Fiction
388,"North and South (North and South, #1)",John Jakes,4.2,0151669988,1982,25315,19058,9158,1652,519,55702,29,740,Causes,Fiction,Fiction
389,Camera Lucida: Reflections On Photography,Roland Barthes,3.97,0224029290,1982,17608,11889,8245,2797,1637,42176,0,128,Photography,Philosophy,Non-fiction
390,1984,George Orwell,4.19,0451516265,1981,1477753,1027931,454510,122174,64784,3147152,3,267,futurology,censorship,Fiction
391,How to Win Friends and Influence People,Dale Carnegie,4.2,067142517X,1981,277548,166859,82725,22396,12349,561877,79,299,Relationships,Influence,Self-Help
392,A Light in the Attic,Shel Silverstein,4.35,0060256737,1981,204407,97217,44690,9537,5169,361020,155,175,Humorous poetry,Juvenile literature,Humor/Family
393,Gullivers Travels,Marie Stuart,3.57,,1981,46243,74459,75588,23356,7075,226721,2,52,,,Fiction
394,The Wind in the Willows,Kenneth Grahame,3.99,0448110288,1981,63288,57483,37177,8827,3469,170244,0,226,Children's fiction,"Animals, fiction",Humor/Family
395,The Rise and Fall of the Third Reich,William L. Shirer,4.17,0671428136,1981,43759,31129,14955,3232,2005,95080,3,1245,National Book Award Winner,Third Reich,Non-fiction/Historical
396,Sons and Lovers,D.H. Lawrence,3.63,0140431543,1981,10523,16131,13673,4511,1673,46511,7,504,"England, fiction",British and irish fiction (fictional works by one author),Fiction
397,Leviathan,Thomas Hobbes,3.7,0140431950,1981,9169,12097,10514,3216,1041,36037,494,736,Political science,The State,Philosophy
398,Betty Crocker's Cookbook,Betty Crocker,4.26,0307098222,1981,18349,9344,5419,1103,539,34754,223,575,,,Cookbook
399,Shock of the New,Robert Hughes,3.71,0394513789,1981,10965,7855,6004,2886,2722,30432,5,423,"Architecture, Modern","Art, Modern",Non-fiction
400,Cosmos,Carl Sagan,4.37,0394715969,1980,64751,30299,11711,2861,2085,111707,10,384,Ouvrages de vulgarisation,Astronomie,Non-fiction
401,Jungle Book,Rudyard Kipling,3.92,0517543249,1980,34753,35573,26136,5810,1605,103877,0,128,Juvenile fiction,Mowgli (Fictitious character),Fiction
402,Sonnets,William Shakespeare,4.25,0300024959,1980,41378,24928,12041,2454,1285,82086,3,603,English Sonnets,History and criticism,Poetry/Novel
403,The Book of Three (The Chronicles of Prydain #1),Lloyd Alexander,3.99,0440907020,1980,24135,25890,14980,2860,1316,69181,43,219,Fantasy,Juvenile fiction,Fantasy/Adventure
404,Sula,Toni Morrison,3.94,0701124237,1980,18659,23298,13495,3002,931,59385,0,174,Fiction,African American women,Fiction
405,The Bloody Chamber,Angela Carter,3.98,0060107081,1980,12930,13519,7453,2077,634,36613,23,164,"Fiction, mystery & detective, general","Fiction, short stories (single author)",Fiction
406,Suffer the Children,John Saul,3.91,0340226870,1980,9993,9265,7189,1690,655,28792,3,320,,,Horror/Thriller
407,Discourse on Method & Meditations on First Philosophy,René Descartes,3.72,0915144840,1980,6989,8688,7407,2285,797,26166,1,100,Methodology,Science,Philosophy
408,More Than a Carpenter,Josh McDowell,4.22,0842345523,1980,12433,7401,3869,876,407,24986,424,128,Person and offices,Apologetics,Self-Help
409,Adam Bede,George Eliot,3.79,0140431217,1980,6384,8142,5668,1657,717,22568,57,608,Fiction,England in fiction,Fiction
